ECG_P_Peaks,ECG_S_Peaks,ECG_R_Peaks,ECG_T_Peaks,ECG_Q_Peaks
0.0,0.0,0.0,0.0,0.0
0.10012851968687932,0.11088056023862015,0.09982466393921685,0.10009343611305768,0.11101024510439632
0.20119172800560814,0.2231876540007781,0.20105201636469902,0.20123802849801445,0.22292828426922578
0.3027222806402617,0.33588380236026455,0.3027469316189363,0.3020322354590049,0.3357541174944884
0.4026171281691786,0.44611593827000384,0.4022209234365868,0.40095772015884135,0.44624562313578003
0.5005257623554153,0.5542731163273246,0.4995908825248393,0.49918243401074514,0.5544028011931007
0.5994859212524828,0.6648943068343924,0.5991817650496786,0.5992758701238028,0.6647646219686162
0.7013669821240799,0.7786279341200881,0.7016949152542373,0.7013548236393365,0.7783685643885359
0.8031312069166958,0.8910647127480222,0.803156049094097,0.8017986451763606,0.8910647127480222
0.9017408575768197,1.0,0.9013442431326709,0.9002569493109086,0.9999999999999999
